original_path,source_index,original_label,status,unified_path,old_split
data/raw/cardboard/cardboard1.jpg,0,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001618__cd840045ede5.jpg,trainval
data/raw/cardboard/cardboard10.jpg,1,cardboard,stored,data/unified_waste/included/cardboard/trashnet__000001__142760cdf40e.jpg,trainval
data/raw/cardboard/cardboard100.jpg,2,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002378__141a4a15ac0a.jpg,trainval
data/raw/cardboard/cardboard101.jpg,3,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002809__ab2e266d87fa.jpg,trainval
data/raw/cardboard/cardboard102.jpg,4,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002610__0b1ba378f3df.jpg,trainval
data/raw/cardboard/cardboard103.jpg,5,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002284__75d8faa96b27.jpg,trainval
data/raw/cardboard/cardboard104.jpg,6,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002480__a070a6208a30.jpg,trainval
data/raw/cardboard/cardboard105.jpg,7,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002129__502c79834888.jpg,test
data/raw/cardboard/cardboard106.jpg,8,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001662__aa38a233f434.jpg,test
data/raw/cardboard/cardboard107.jpg,9,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002459__ce48c1a00d9c.jpg,trainval
data/raw/cardboard/cardboard108.jpg,10,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001620__6a42cfe3a12f.jpg,trainval
data/raw/cardboard/cardboard109.jpg,11,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001694__6c658dc0547c.jpg,trainval
data/raw/cardboard/cardboard11.jpg,12,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001599__6be8ce4006ec.jpg,trainval
data/raw/cardboard/cardboard110.jpg,13,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002431__8cd2af9c46d6.jpg,test
data/raw/cardboard/cardboard111.jpg,14,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002348__e25eb3ccee47.jpg,trainval
data/raw/cardboard/cardboard112.jpg,15,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002201__4a5327063899.jpg,test
data/raw/cardboard/cardboard113.jpg,16,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002076__02416af5a9c2.jpg,trainval
data/raw/cardboard/cardboard114.jpg,17,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002553__cea6d246b252.jpg,trainval
data/raw/cardboard/cardboard115.jpg,18,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001475__bc37c922fa7c.jpg,trainval
data/raw/cardboard/cardboard116.jpg,19,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001494__c1cf0451bea0.jpg,trainval
data/raw/cardboard/cardboard117.jpg,20,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001527__f50eb56a05fc.jpg,trainval
data/raw/cardboard/cardboard118.jpg,21,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002780__70e198fc1116.jpg,trainval
data/raw/cardboard/cardboard119.jpg,22,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001658__bae86c2f4262.jpg,trainval
data/raw/cardboard/cardboard12.jpg,23,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001721__af68a7803827.jpg,trainval
data/raw/cardboard/cardboard120.jpg,24,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002583__8e3e85d2d4ff.jpg,trainval
data/raw/cardboard/cardboard121.jpg,25,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002776__d1756f14602b.jpg,test
data/raw/cardboard/cardboard122.jpg,26,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001678__fda9c43ae667.jpg,trainval
data/raw/cardboard/cardboard123.jpg,27,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001693__8fff2b62d478.jpg,trainval
data/raw/cardboard/cardboard124.jpg,28,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002369__138eef5ddea3.jpg,trainval
data/raw/cardboard/cardboard125.jpg,29,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002073__2f0d2b930d66.jpg,trainval
data/raw/cardboard/cardboard126.jpg,30,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001812__dfd0e6cc9904.jpg,trainval
data/raw/cardboard/cardboard127.jpg,31,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002071__1dd800342121.jpg,trainval
data/raw/cardboard/cardboard128.jpg,32,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001993__9d92278741ad.jpg,trainval
data/raw/cardboard/cardboard129.jpg,33,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002176__3e4f85c24e33.jpg,trainval
data/raw/cardboard/cardboard13.jpg,34,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001538__4b4320fd7a63.jpg,trainval
data/raw/cardboard/cardboard130.jpg,35,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__001814__3e5f59d73694.jpg,trainval
data/raw/cardboard/cardboard131.jpg,36,cardboard,duplicate,data/unified_waste/included/cardboard/garbage_classification__002111__b0478801341b.jpg,trainval
data/raw/cardboard/cardboard132.jpg,37,cardboard,stored,data/unified_waste/included/cardboard/trashnet__000037__4451b6f8b8b9.jpg,test
